,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,SalePrice,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallQual,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,OverallCond,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,ExterQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,BsmtQual,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,ExterCond,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,HeatingQC,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,KitchenQual,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,FireplaceQu,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageQual,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,GarageCond,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond,BsmtCond
,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std,sum,min,max,mean,median,quantile1,quantile2,std
Neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blmngtn,3312805,159895,264561,194870.88235294117,191000.0,164424.0,239031.2,30393.22921902663,122,7,8,7.176470588235294,7.0,7.0,8.0,0.39295262399668784,85,5,5,5.0,5.0,5.0,5.0,0.0,17.889137269768817,1.052302192339342,1.052302192339342,1.052302192339342,1.052302192339342,1.052302192339342,1.052302192339342,0.0,13.858520566576452,0.6416449551422564,2.1169231197213025,0.815207092151556,0.6416449551422564,0.6416449551422564,1.2317562209738755,0.4899481135738027,-4.047910139589856,-0.2381123611523445,-0.2381123611523445,-0.23811236115234446,-0.2381123611523445,-0.2381123611523445,-0.2381123611523445,0.0,15.150050475832858,0.891179439754874,0.891179439754874,0.891179439754874,0.891179439754874,0.891179439754874,0.891179439754874,0.0,14.018988940720389,0.7359943387625092,2.2430795205202427,0.8246464082776699,0.7359943387625092,0.7359943387625092,0.7359943387625092,0.3655218465406074,-3.594467996338594,-1.1867990698811466,0.4713125492829432,-0.21143929390227023,0.4713125492829432,-1.1867990698811466,0.4713125492829432,0.8411594543363572,1.6387423077600443,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.0,1.8007478706783466,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.0,4.02974028588615,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.0,6.38444955436022,-0.03857673446743318,3.481550285685859,0.37555585613883646,-0.03857673446743318,-0.03857673446743318,1.3694740735938848,1.1690538330148703
Blueste,275000,124000,151000,137500.0,137500.0,126700.0,148300.0,19091.883092036784,12,6,6,6.0,6.0,6.0,6.0,0.0,12,6,6,6.0,6.0,6.0,6.0,0.0,-1.3792078620683452,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,0.0,1.2832899102845128,0.6416449551422564,0.6416449551422564,0.6416449551422564,0.6416449551422564,0.6416449551422564,0.6416449551422564,0.0,2.3733166488627147,-0.2381123611523445,2.6114290100150592,1.1866583244313573,1.1866583244313573,0.0468417759643959,2.326474872898319,2.014930026824084,-2.3879038834457518,-1.1939519417228759,-1.1939519417228759,-1.1939519417228759,-1.1939519417228759,-1.1939519417228759,-1.1939519417228759,0.0,-1.5421816859904482,-0.7710908429952241,-0.7710908429952241,-0.7710908429952241,-0.7710908429952241,-0.7710908429952241,-0.7710908429952241,0.0,-2.373598139762293,-1.1867990698811466,-1.1867990698811466,-1.1867990698811466,-1.1867990698811466,-1.1867990698811466,-1.1867990698811466,0.0,0.19279321267765226,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.0,0.21185269066804077,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.0,0.4740870924571941,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.0,-0.07715346893486635,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,0.0
BrDale,1671900,83000,125000,104493.75,106000.0,86700.0,121000.0,14330.176493446732,91,5,6,5.6875,6.0,5.0,6.0,0.478713553878169,87,3,8,5.4375,5.0,5.0,7.0,1.1528949070347505,-11.033662896546762,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,0.0,-13.338131350988633,-0.8336332094367895,-0.8336332094367895,-0.8336332094367895,-0.8336332094367895,-0.8336332094367895,-0.8336332094367895,0.0,-3.809797778437512,-0.2381123611523445,-0.2381123611523445,-0.2381123611523445,-0.2381123611523445,-0.2381123611523445,-0.2381123611523445,0.0,-14.932968304610515,-1.1939519417228759,0.891179439754874,-0.9333105190381572,-1.1939519417228759,-1.1939519417228759,-0.15138625098400096,0.6019255821959576,-10.830368306165852,-0.7710908429952241,0.7359943387625092,-0.6768980191353657,-0.7710908429952241,-0.7710908429952241,-0.7710908429952241,0.37677129543943333,2.566665931034822,-4.503022308209326,0.4713125492829432,0.16041662068967638,0.4713125492829432,0.4713125492829432,0.4713125492829432,1.2435837143730675,1.542345701421218,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.0,1.6948215253443262,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.0,0.7963021293220357,-1.2611537589391615,0.23704354622859705,0.04976888308262723,0.23704354622859705,-0.5120551063552823,0.23704354622859705,0.511731800791579,-4.137354771632223,-3.5587037546207254,-0.03857673446743318,-0.25858467322701395,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,0.8800317550383231
BrkSide,7240375,39300,223500,124834.05172413793,124300.0,78600.0,181550.00000000003,40348.689270401126,293,1,7,5.051724137931035,5.0,4.0,6.0,1.1909367357378586,356,2,9,6.137931034482759,6.0,5.0,8.0,1.3304566669113036,-38.2551218766085,-2.431510054407687,1.052302192339342,-0.6595710668380775,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,0.6096784336266358,-46.87544798275475,-2.3089113740158353,0.6416449551422564,-0.8081973790130129,-0.8336332094367895,-0.8336332094367895,-0.8336332094367895,0.5163569198563888,-10.960975575668574,-5.937195103487151,2.6114290100150592,-0.18898233751152713,-0.2381123611523445,-1.092974772502565,2.6114290100150592,1.555398433791711,-22.33375653667743,-2.236517632461751,0.891179439754874,-0.3850647678737488,-0.15138625098400096,-1.1939519417228759,0.891179439754874,0.9966148793913778,-46.23035407548073,-2.2781760247529577,2.2430795205202427,-0.7970750702669092,-0.7710908429952241,-2.2781760247529577,0.7359943387625092,0.91439041339954,12.413123285933898,-4.503022308209326,0.4713125492829432,0.21401936699886032,0.4713125492829432,-0.026120936466283384,0.4713125492829432,0.8675342459656912,-10.966531568193545,-4.042987077622539,4.235780290300191,-0.18907813048609562,0.09639660633882613,0.09639660633882613,0.09639660633882613,1.3117567290716325,-15.335780885580943,-8.48587722064763,0.10592634533402039,-0.26441001526863694,0.10592634533402039,0.10592634533402039,0.10592634533402039,1.4583622257466535,-14.717223116928782,-7.253942979610195,0.23704354622859705,-0.2537452261539445,0.23704354622859705,-1.2611537589391615,0.23704354622859705,1.5722728909828267,-9.27770463941771,-3.5587037546207254,3.481550285685859,-0.15996042481754671,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,1.1354973669630808
ClearCr,5951832,130000,328000,212565.42857142858,200250.0,151400.0,277900.0,50231.53899282105,165,4,7,5.892857142857143,6.0,4.7,7.0,0.9940297973880047,159,4,8,5.678571428571429,5.0,4.7,7.300000000000001,1.218790275416462,-7.115567205342231,-0.6896039310341726,1.052302192339342,-0.25412740019079394,-0.6896039310341726,-0.6896039310341726,1.052302192339342,0.7681084016111525,-1.212557395544418,-0.8336332094367895,2.1169231197213025,-0.0433056212694435,-0.09599412714726657,-0.8336332094367895,0.6416449551422564,0.8500605809284597,-0.9680633699308383,-0.2381123611523445,2.6114290100150592,-0.03457369178324422,-0.2381123611523445,-0.2381123611523445,-0.2381123611523445,0.7473357204340403,-3.1962493368131515,-2.236517632461751,0.891179439754874,-0.11415176202904112,-0.15138625098400096,-1.1939519417228759,0.891179439754874,1.002492469482182,2.5228193042574576,-0.7710908429952241,2.2430795205202427,0.09010068943776635,-0.017548252116357466,-0.7710908429952241,0.7359943387625092,0.9556826326324898,-10.016811288374848,-2.8449106890452365,0.4713125492829432,-0.3577432602991017,0.4713125492829432,-1.1867990698811466,0.4713125492829432,0.9573111896708335,-1.4402787064742335,-4.042987077622539,0.09639660633882613,-0.05143852523122262,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.7822699863457253,2.965937669352571,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.0,-17.33393758828342,-5.755745674442437,0.23704354622859705,-0.6190691995815507,0.23704354622859705,-2.75935106410692,0.23704354622859705,1.6527304456321013,-1.080148565088129,-3.5587037546207254,3.481550285685859,-0.038576734467433184,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,0.9580572254621559
CollgCr,29694866,110000,424870,197965.77333333335,197200.0,132950.0,260150.0,51403.66643820808,996,4,9,6.64,7.0,5.0,8.0,1.0380673834667236,786,5,8,5.24,5.0,5.0,6.0,0.6417258608914813,86.42717779258722,-0.6896039310341726,1.052302192339342,0.5761811852839148,1.052302192339342,-0.6896039310341726,1.052302192339342,0.7789169586592992,91.82090877760132,-0.8336332094367895,2.1169231197213025,0.6121393918506755,0.6416449551422564,0.6416449551422564,0.6416449551422564,0.5259818613698112,-10.07098183234504,-0.2381123611523445,2.6114290100150592,-0.06713987888230027,-0.2381123611523445,-0.2381123611523445,-0.2381123611523445,0.6789956844211256,97.18711678737048,-1.1939519417228759,0.891179439754874,0.6479141119158033,0.891179439754874,-0.2556428200578881,0.891179439754874,0.6438902648836635,78.75036199746398,-0.7710908429952241,2.2430795205202427,0.5250024133164266,0.7359943387625092,-0.7710908429952241,0.7359943387625092,0.6990792707260169,15.979198960026517,-4.503022308209326,2.129424168447033,0.10652799306684345,0.4713125492829432,-1.1867990698811466,0.4713125492829432,0.8120782941600255,18.598874634785282,0.09639660633882613,4.235780290300191,0.12399249756523521,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.337979262510247,11.593050017112233,-4.189975437656805,0.10592634533402039,0.07728700011408156,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.350758911781333,35.55653193428956,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.0,22.37450599111136,-0.03857673446743318,3.481550285685859,0.14916337327407572,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,0.7936129332942236
Crawfor,10741861,90350,392500,210624.72549019608,200624.0,139000.0,311500.0,68866.39547212514,320,4,8,6.2745098039215685,6.0,5.0,8.0,1.0213409102263362,336,3,9,6.588235294117647,7.0,5.0,8.0,1.3442688806668894,-5.557396385393053,-0.6896039310341726,2.7942083157128565,-0.10896855657633438,-0.6896039310341726,-0.6896039310341726,1.052302192339342,0.9646239314251701,-13.009730389695347,-2.3089113740158353,2.1169231197213025,-0.25509275273912446,-0.8336332094367895,-0.8336332094367895,0.6416449551422564,1.0254374593357307,22.050766035239274,-3.087653732319748,2.6114290100150592,0.4323679614752799,-0.2381123611523445,-0.2381123611523445,2.6114290100150592,1.3472317347015803,-11.890961563139548,-2.236517632461751,0.891179439754874,-0.2331561090811676,-0.15138625098400096,-1.1939519417228759,0.891179439754874,1.1198366393093524,-3.15558863057083,-2.2781760247529577,2.2430795205202427,-0.061874286873937846,-0.7710908429952241,-0.7710908429952241,0.7359943387625092,1.0155983559971309,4.139600583461025,-1.1867990698811466,0.4713125492829432,0.08116863889139264,0.4713125492829432,-1.1867990698811466,0.4713125492829432,0.710340536470887,-24.05945886444942,-8.182370761583904,4.235780290300191,-0.4717540953813612,0.09639660633882613,-4.042987077622539,0.09639660633882613,1.8548148904965096,-20.37316708590991,-8.48587722064763,0.10592634533402039,-0.3994738644296061,0.10592634533402039,0.10592634533402039,0.10592634533402039,1.6408002868072948,-4.3909494991868945,-5.755745674442437,0.23704354622859705,-0.08609704900366459,0.23704354622859705,0.23704354622859705,0.23704354622859705,1.246792757872787,-1.9674134578390925,-3.5587037546207254,3.481550285685859,-0.038576734467433184,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,1.219407769600307
Edwards,12821970,58500,320000,128219.7,121750.0,82450.0,177200.00000000003,43208.61645867324,508,1,10,5.08,5.0,4.0,6.0,1.3079400103625054,544,1,9,5.44,5.0,3.0,7.0,1.3949403520791077,-46.31561349956157,-2.431510054407687,2.7942083157128565,-0.4631561349956157,-0.6896039310341726,-0.6896039310341726,1.052302192339342,0.7693045223486152,-46.481366829202805,-2.3089113740158353,2.1169231197213025,-0.4648136682920281,-0.8336332094367895,-0.8336332094367895,0.6416449551422564,0.9464989221981917,-3.864446517062622,-3.087653732319748,5.460970381182462,-0.038644465170626224,-0.2381123611523445,-0.2381123611523445,2.6114290100150592,1.2321414812060698,-22.43658493357222,-2.236517632461751,0.891179439754874,-0.2243658493357222,-0.15138625098400096,-1.1939519417228759,0.891179439754874,1.0813867000505037,-49.981551027883214,-2.2781760247529577,2.2430795205202427,-0.49981551027883214,-0.7710908429952241,-0.7710908429952241,0.7359943387625092,0.943000855206282,35.52447359414569,-2.8449106890452365,2.129424168447033,0.3552447359414569,0.4713125492829432,0.4713125492829432,0.4713125492829432,0.5894199349463439,-6.9178741019628465,-4.042987077622539,4.235780290300191,-0.06917874101962847,0.09639660633882613,0.09639660633882613,0.09639660633882613,1.0053667310835166,-10.886874381552087,-8.48587722064763,4.401828128324846,-0.10886874381552086,0.10592634533402039,0.10592634533402039,0.10592634533402039,1.415601383386264,-34.72534027868288,-5.755745674442437,0.23704354622859705,-0.3472534027868288,0.23704354622859705,-2.75935106410692,0.23704354622859705,1.5632939610542318,-10.897927487049904,-7.078830774774017,3.481550285685859,-0.10897927487049903,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,1.5805964639099697
Gilbert,15235506,141000,377500,192854.50632911394,181000.0,167520.0,231600.00000000003,35986.77908510056,518,4,9,6.556962025316456,7.0,6.0,7.0,0.7803161003645593,405,5,8,5.1265822784810124,5.0,5.0,5.0,0.4900834206225517,23.907065000108524,-0.6896039310341726,2.7942083157128565,0.30262107595074084,1.052302192339342,-0.6896039310341726,1.052302192339342,0.9534100975140091,47.739395127080165,-0.8336332094367895,2.1169231197213025,0.604296140849116,0.6416449551422564,0.6416449551422564,0.6416449551422564,0.4709696152574777,-15.961335159867811,-0.2381123611523445,2.6114290100150592,-0.2020422172135166,-0.2381123611523445,-0.2381123611523445,-0.2381123611523445,0.3205984519888598,42.25390209068542,-1.1939519417228759,0.891179439754874,0.5348595201352585,0.891179439754874,-0.15138625098400096,0.891179439754874,0.5249078849758795,8.409741764233027,-0.7710908429952241,2.2430795205202427,0.10645242739535478,0.7359943387625092,-0.7710908429952241,0.7359943387625092,0.7859844606208738,-34.06510823070335,-1.1867990698811466,0.4713125492829432,-0.4312039016544728,-1.1867990698811466,-1.1867990698811466,0.4713125492829432,0.8310715086661594,7.615331900767265,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.0,8.36818128138761,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.0,18.726440152059165,0.23704354622859705,0.23704354622859705,0.23704354622859702,0.23704354622859705,0.23704354622859705,0.23704354622859705,0.0,18.073200097992533,-0.03857673446743318,3.481550285685859,0.2287746847847156,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,0.9385005751085274
IDOTRR,3704580,34900,169500,100123.78378378379,103000.0,55000.0,140040.0,33376.71011693227,176,2,7,4.756756756756757,5.0,3.6,6.0,1.140307107888178,205,2,8,5.54054054054054,6.0,4.0,7.0,1.5562525251134283,-32.48296994175845,-2.431510054407687,1.052302192339342,-0.8779181065340121,-0.6896039310341726,-2.431510054407687,-0.6896039310341726,0.6850247196308575,-30.844428749161214,-2.3089113740158353,0.6416449551422564,-0.8336332094367895,-0.8336332094367895,-0.8336332094367895,-0.8336332094367895,0.3477263981034289,-14.509240104971553,-3.087653732319748,2.6114290100150592,-0.3921416244586906,-0.2381123611523445,-3.087653732319748,2.6114290100150592,1.6377559748666561,-25.41003941044666,-3.279083323200626,0.891179439754874,-0.6867578219039638,-1.1939519417228759,-1.6109782180184258,0.891179439754874,1.0604151534455406,-30.037446372581027,-2.2781760247529577,0.7359943387625092,-0.8118228749346224,-0.7710908429952241,-2.2781760247529577,0.7359943387625092,0.8320486189395624,15.780452704304809,-1.1867990698811466,0.4713125492829432,0.4264987217379678,0.4713125492829432,0.4713125492829432,0.4713125492829432,0.2725918710298226,-0.5727092494248003,-8.182370761583904,8.375163974261556,-0.01547862836283244,0.09639660633882613,0.09639660633882613,0.09639660633882613,2.066581859995487,-13.264332354604546,-8.48587722064763,8.69772991131567,-0.3584954690433661,0.10592634533402039,-4.189975437656805,0.10592634533402039,2.4351410154665603,-3.2149672308839765,-7.253942979610195,0.23704354622859705,-0.08689100624010747,0.23704354622859705,0.23704354622859705,0.23704354622859705,1.418466431560772,-26.068228316368074,-7.078830774774017,-0.03857673446743318,-0.7045467112531912,-0.03857673446743318,-3.5587037546207254,-0.03857673446743318,1.6254192260328377
MeadowV,1675800,75000,151400,98576.4705882353,88000.0,78200.0,131540.0,23491.049609685513,76,4,6,4.470588235294118,4.0,4.0,5.0,0.6242642728467978,94,3,8,5.529411764705882,6.0,4.0,7.0,1.3284223283101428,-11.723266827580934,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,-0.6896039310341726,0.0,3.531573414523129,-0.8336332094367895,0.6416449551422564,0.20773961261900759,0.6416449551422564,-0.8336332094367895,0.6416449551422564,0.6928912670751851,1.6511726027449511,-0.2381123611523445,2.6114290100150592,0.09712780016146771,-0.2381123611523445,-0.2381123611523445,0.901704187314618,0.9463485957255698,-11.95665748337789,-2.236517632461751,0.891179439754874,-0.703332793139876,-1.1939519417228759,-1.1939519417228759,0.891179439754874,0.9116972489482188,-8.58728878564561,-0.7710908429952241,2.2430795205202427,-0.5051346344497417,-0.7710908429952241,-0.7710908429952241,-0.16825677029213026,0.7966363953634448,-1.936356377174504,-4.503022308209326,0.4713125492829432,-0.11390331630438259,0.4713125492829432,-1.1867990698811466,0.4713125492829432,1.3031186232598517,1.6387423077600443,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.09639660633882613,0.0,1.8007478706783466,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.10592634533402039,0.0,-1.9630489347848843,-5.755745674442437,0.23704354622859705,-0.11547346675205201,0.23704354622859705,0.23704354622859705,0.23704354622859705,1.4534648793464482,-0.655804485946364,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,-0.03857673446743318,0.0
